41DH	IA32_MC7_STATUS
41EH	IA32_MC7_ADDR
41FH	IA32_MC7_MISC
420H	IA32_MC8_CTL
421H	IA32_MC8_STATUS
422H	IA32_MC8_ADDR
423H	IA32_MC8_MISC
424H	IA32_MC9_CTL
425H	IA32_MC9_STATUS
426H	IA32_MC9_ADDR
427H	IA32_MC9_MISC
428H	IA32_MC10_CTL
429H	IA32_MC10_STATUS
42AH	IA32_MC10_ADDR
42BH	IA32_MC10_MISC
42CH	IA32_MC11_CTL
42DH	IA32_MC11_STATUS
42EH	IA32_MC11_ADDR
42FH	IA32_MC11_MISC
430H	IA32_MC12_CTL
431H	IA32_MC12_STATUS
432H	IA32_MC12_ADDR
433H	IA32_MC12_MISC
434H	IA32_MC13_CTL
435H	IA32_MC13_STATUS
436H	IA32_MC13_ADDR
437H	IA32_MC13_MISC
438H	IA32_MC14_CTL
439H	IA32_MC14_STATUS
43AH	IA32_MC14_ADDR
43BH	IA32_MC14_MISC
43CH	IA32_MC15_CTL
43DH	IA32_MC15_STATUS
43EH	IA32_MC15_ADDR
43FH	IA32_MC15_MISC
440H	IA32_MC16_CTL
441H	IA32_MC16_STATUS
442H	IA32_MC16_ADDR
443H	IA32_MC16_MISC
444H	IA32_MC17_CTL
445H	IA32_MC17_STATUS
446H	IA32_MC17_ADDR
447H	IA32_MC17_MISC
448H	IA32_MC18_CTL
449H	IA32_MC18_STATUS
44AH	IA32_MC18_ADDR
44BH	IA32_MC18_MISC
44CH	IA32_MC19_CTL
44DH	IA32_MC19_STATUS
44EH	IA32_MC19_ADDR
44FH	IA32_MC19_MISC
613H	MSR_PKG_PERF_STATUS
618H	MSR_DRAM_POWER_LIMIT
619H	MSR_DRAM_ENERGY_STATUS
61BH	MSR_DRAM_PERF_STATUS
61CH	MSR_DRAM_POWER_INFO
639H	MSR_PP0_ENERGY_STATUS
C08H	MSR_U_PMON_UCLK_FIXED_CTL
C09H	MSR_U_PMON_UCLK_FIXED_CTR
C10H	MSR_U_PMON_EVNTSEL0
C11H	MSR_U_PMON_EVNTSEL1
C16H	MSR_U_PMON_CTR0
C17H	MSR_U_PMON_CTR1
C24H	MSR_PCU_PMON_BOX_CTL
C30H	MSR_PCU_PMON_EVNTSEL0
C31H	MSR_PCU_PMON_EVNTSEL1
C32H	MSR_PCU_PMON_EVNTSEL2
C33H	MSR_PCU_PMON_EVNTSEL3
C34H	MSR_PCU_PMON_BOX_FILTER
C36H	MSR_PCU_PMON_CTR0
C37H	MSR_PCU_PMON_CTR1
C38H	MSR_PCU_PMON_CTR2
C39H	MSR_PCU_PMON_CTR3
D04H	MSR_C0_PMON_BOX_CTL
D10H	MSR_C0_PMON_EVNTSEL0
D11H	MSR_C0_PMON_EVNTSEL1
D12H	MSR_C0_PMON_EVNTSEL2
D13H	MSR_C0_PMON_EVNTSEL3
D14H	MSR_C0_PMON_BOX_FILTER
D16H	MSR_C0_PMON_CTR0
D17H	MSR_C0_PMON_CTR1
D18H	MSR_C0_PMON_CTR2
D19H	MSR_C0_PMON_CTR3
D24H	MSR_C1_PMON_BOX_CTL
D30H	MSR_C1_PMON_EVNTSEL0
D31H	MSR_C1_PMON_EVNTSEL1
D32H	MSR_C1_PMON_EVNTSEL2
D33H	MSR_C1_PMON_EVNTSEL3
D34H	MSR_C1_PMON_BOX_FILTER
D36H	MSR_C1_PMON_CTR0
D37H	MSR_C1_PMON_CTR1
D38H	MSR_C1_PMON_CTR2
D39H	MSR_C1_PMON_CTR3
D44H	MSR_C2_PMON_BOX_CTL
D50H	MSR_C2_PMON_EVNTSEL0
