33H	MSR_MEMORY_CTRL
A7H	MSR_BIOS_DEBUG
BCH	IA32_MISC_PACKAGE_CTLS
CFH	IA32_CORE_CAPABILITIES
E1H	IA32_UMWAIT_CONTROL
EDH	MSR_RAR_CONTROL
EEH	MSR_RAR_ACTION_VECTOR_BASE
EFH	MSR_RAR_PAYLOAD_TABLE_BASE
F0H	MSR_RAR_INFO
105H	MSR_CORE_BIST
10AH	IA32_ARCH_CAPABILITIES
1A4H	MSR_PREFETCH_CONTROL
1ADH	MSR_PRIMARY_TURBO_RATIO_LIMIT
1AEH	MSR_TURBO_RATIO_LIMIT_CORES
1C4H	IA32_XFD
1C5H	IA32_XFD_ERR
2C2H	MSR_COPY_SCAN_HASHES
2C3H	MSR_SCAN_HASHES_STATUS
2C4H	MSR_AUTHENTICATE_AND_COPY_CHUNK
2C5H	MSR_CHUNKS_AUTHENTICATION_STATUS
2C6H	MSR_ACTIVATE_SCAN
2C7H	MSR_SCAN_STATUS
2C8H	MSR_SCAN_MODULE_ID
2C9H	MSR_LAST_SAF_WP
2D9H	MSR_INTEGRITY_CAPABILITIES
410H	IA32_MC4_CTL
411H	IA32_MC4_STATUS
412H	IA32_MC4_ADDR
413H	IA32_MC4_MISC
492H	IA32_VMX_PROCBASED_CTLS3
493H	IA32_VMX_EXIT_CTLS2
540H	MSR_THREAD_UARCH_CTL
65CH	MSR_PLATFORM_POWER_LIMIT
6A0H	IA32_U_CET
6A2H	IA32_S_CET
6A4H	IA32_PL0_SSP
6A5H	IA32_PL1_SSP
6A6H	IA32_PL2_SSP
6A7H	IA32_PL3_SSP
6A8H	IA32_INTERRUPT_SSP_TABLE_ADDR
6E1H	IA32_PKRS
776H	IA32_HWP_CTL
981H	IA32_TME_CAPABILITY
985H	IA32_UINTR_RR
986H	IA32_UINTR_HANDLER
987H	IA32_UINTR_STACKADJUST
988H	IA32_UINTR_MISC
989H	IA32_UINTR_PD
98AH	IA32_UINTR_TT
C70H	MSR_B1_PMON_EVNT_SEL0
C71H	MSR_B1_PMON_CTR0
C72H	MSR_B1_PMON_EVNT_SEL1
C73H	MSR_B1_PMON_CTR1
